epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.907574,0,30.1304,0,0,0,0,0,0,16.2102,0,2e-05,2e-05,2e-05
2,1.85216,0,30.0114,0,0,0,0,0,0,16.2493,0,5.8812e-05,5.8812e-05,5.8812e-05
3,2.76052,0,29.6669,0,0,0,0,0,0,16.2792,0,9.604e-05,9.604e-05,9.604e-05
4,3.62508,0,29.5036,0,0,0,0,0,0,16.3062,0,0.000131684,0.000131684,0.000131684
5,4.51813,0,29.3128,0,0,0,0,0,0,16.3284,0,0.000165744,0.000165744,0.000165744
6,5.39366,0,29.1248,0,0,0,0,0,0,16.3284,0,0.00019822,0.00019822,0.00019822
7,6.30933,0,28.9939,0,0,0,0,0,0,16.3491,0,0.000229112,0.000229112,0.000229112
8,7.21405,0,28.89,0,0,0,0,0,0,16.3682,0,0.00025842,0.00025842,0.00025842
9,8.1024,0,28.6466,0,0,0,0,0,0,16.3682,0,0.000286144,0.000286144,0.000286144
10,9.01592,0,28.6343,0,0,0,0,0,0,16.3858,0,0.000312284,0.000312284,0.000312284
11,9.84317,0,28.2162,0,0,0,0,0,0,16.3858,0,0.00033684,0.00033684,0.00033684
12,10.7523,0,28.2294,0,0,0,0,0,0,16.3965,0,0.000359812,0.000359812,0.000359812
13,11.5643,0,27.9228,0,0,0,0,0,0,16.3965,0,0.0003812,0.0003812,0.0003812
14,12.4383,0,27.8303,0,0,0,0,0,0,16.3965,0,0.000401004,0.000401004,0.000401004
15,13.3464,0,27.5948,0,0,0,0,0,0,16.3898,0,0.000419224,0.000419224,0.000419224
16,14.2192,0,27.354,0,0,0,0,0,0,16.3898,0,0.00043586,0.00043586,0.00043586
17,15.1004,0,27.3581,0,0,0,0,0,0,16.3898,0,0.000450912,0.000450912,0.000450912
18,15.9861,0,27.0313,0,0,0,0,0,0,16.3553,0,0.00046438,0.00046438,0.00046438
19,16.863,0,26.7247,0,0,0,0,0,0,16.3553,0,0.000476264,0.000476264,0.000476264
20,17.7299,0,26.7624,0,0,0,0,0,0,16.3553,0,0.000486564,0.000486564,0.000486564
21,18.6424,0,26.6991,0,0,0,0,0,0,16.3442,0,0.00049528,0.00049528,0.00049528
22,19.4499,0,26.1675,0,0,0,0,0,0,16.3442,0,0.000502412,0.000502412,0.000502412
23,20.3185,0,26.1712,0,0,0,0,0,0,16.3442,0,0.00050796,0.00050796,0.00050796
24,21.1327,0,26.2174,0,0,0,0,0,0,16.3442,0,0.000511924,0.000511924,0.000511924
25,22.0127,0,26.1109,0,0,0,0,0,0,16.4144,0,0.000514304,0.000514304,0.000514304
26,22.8414,0,25.4305,0,0,0,0,0,0,16.4144,0,0.0005151,0.0005151,0.0005151
27,23.7149,0,25.3799,0,0,0,0,0,0,16.4144,0,0.000514312,0.000514312,0.000514312
28,24.5141,0,25.4879,0,0,0,0,0,0,16.4144,0,0.00051194,0.00051194,0.00051194
29,25.3906,0,25.519,0,0,0,0,0,0,16.4144,0,0.000507984,0.000507984,0.000507984
30,26.2733,0,25.5172,0,0,0,0,0,0,16.5872,0,0.000502444,0.000502444,0.000502444
31,27.093,0,24.8291,0,0,0,0,0,0,16.5872,0,0.00049532,0.00049532,0.00049532
32,27.9446,0,24.7967,0,0,0,0,0,0,16.5872,0,0.000486612,0.000486612,0.000486612
33,28.8291,0,24.8916,0,0,0,0,0,0,16.5872,0,0.00047632,0.00047632,0.00047632
34,29.7122,0,24.8662,0,0,0,0,0,0,16.5872,0,0.000464444,0.000464444,0.000464444
35,30.5201,0,24.8318,0,0,0,0,0,0,16.5872,0,0.000450984,0.000450984,0.000450984
36,31.4239,0,24.8941,0,0,0,0,0,0,15.6902,0,0.00043594,0.00043594,0.00043594
37,32.2617,0,24.353,0,0,0,0,0,0,15.6902,0,0.000419312,0.000419312,0.000419312
38,33.1469,0,24.3031,0,0,0,0,0,0,15.6902,0,0.0004011,0.0004011,0.0004011
39,34.0231,0,24.3236,0,0,0,0,0,0,15.6902,0,0.000381304,0.000381304,0.000381304
40,34.8313,0,24.2733,0,0,0,0,0,0,15.6902,0,0.000359924,0.000359924,0.000359924
41,35.7098,0,24.4919,0,0,0,0,0,0,15.6902,0,0.00033696,0.00033696,0.00033696
42,36.5887,0,24.4747,0,0,0,0,0,0,15.6902,0,0.000312412,0.000312412,0.000312412
43,37.4744,0,24.4822,0,0,0,0,0,0,14.6463,0,0.00028628,0.00028628,0.00028628
44,38.322,0,24.0985,0,0,0,0,0,0,14.6463,0,0.000258564,0.000258564,0.000258564
45,39.1666,0,24.034,0,0,0,0,0,0,14.6463,0,0.000229264,0.000229264,0.000229264
46,40.0008,0,24.0277,0,0,0,0,0,0,14.6463,0,0.00019838,0.00019838,0.00019838
47,40.8427,0,24.0286,0,0,0,0,0,0,14.6463,0,0.000165912,0.000165912,0.000165912
48,41.6747,0,24.0522,0,0,0,0,0,0,14.6463,0,0.00013186,0.00013186,0.00013186
49,42.4689,0,24.0686,0,0,0,0,0,0,14.6463,0,9.6224e-05,9.6224e-05,9.6224e-05
50,43.2949,0,24.0748,0,0,0,0,0,0,14.6463,0,5.9004e-05,5.9004e-05,5.9004e-05
